CUST_CODE,SHOP_DATE
CUST0000999976,10/04/2006
CUST0000999976,10/04/2006
CUST0000999976,10/04/2006
CUST0000999976,10/04/2006
CUST0000999976,10/04/2006
CUST0000999976,10/04/2006
CUST0000999976,10/04/2006
CUST0000999976,11/04/2006
CUST0000999976,11/04/2006
CUST0000999976,11/04/2006
CUST0000999976,11/04/2006
CUST0000999976,11/04/2006
CUST0000999976,11/04/2006
CUST0000999976,13/04/2006
CUST0000999976,13/04/2006
CUST0000999976,14/04/2006
CUST0000999976,14/04/2006
CUST0000999976,14/04/2006
CUST0000999976,14/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,15/04/2006
CUST0000999934,16/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999819,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999718,11/04/2006
CUST0000999696,16/04/2006
CUST0000999696,16/04/2006
CUST0000999677,12/04/2006
CUST0000999677,12/04/2006
CUST0000999677,12/04/2006
CUST0000999677,12/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999674,11/04/2006
CUST0000999650,16/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,11/04/2006
CUST0000999648,13/04/2006
CUST0000999648,13/04/2006
CUST0000999648,13/04/2006
CUST0000999648,13/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999625,11/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999593,13/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999577,12/04/2006
CUST0000999565,13/04/2006
CUST0000999480,11/04/2006
CUST0000999480,11/04/2006
CUST0000999480,11/04/2006
CUST0000999480,11/04/2006
CUST0000999480,12/04/2006
CUST0000999480,12/04/2006
CUST0000999480,12/04/2006
CUST0000999480,12/04/2006
CUST0000999480,12/04/2006
CUST0000999480,12/04/2006
CUST0000999480,12/04/2006
CUST0000999480,14/04/2006
CUST0000999480,14/04/2006
CUST0000999480,14/04/2006
CUST0000999480,14/04/2006
CUST0000999480,14/04/2006
CUST0000999480,14/04/2006
CUST0000999480,14/04/2006
CUST0000999439,16/04/2006
CUST0000999439,16/04/2006
CUST0000999439,16/04/2006
CUST0000999439,16/04/2006
CUST0000999404,11/04/2006
CUST0000999404,11/04/2006
CUST0000999404,12/04/2006
CUST0000999404,12/04/2006
CUST0000999404,12/04/2006
CUST0000999404,12/04/2006
CUST0000999403,15/04/2006
CUST0000999403,15/04/2006
CUST0000999373,13/04/2006
CUST0000999373,13/04/2006
CUST0000999373,13/04/2006
CUST0000999373,16/04/2006
CUST0000999373,16/04/2006
CUST0000999373,16/04/2006
CUST0000999073,14/04/2006
CUST0000999073,14/04/2006
CUST0000999073,14/04/2006
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
